"1-1000841","21-1000841"
"1-1000842","21-1000842"
"1-1000843","21-1000843"
"1-1000844","21-1000844"
"1-1000845","21-1000845"
"1-1000846","21-1000846"
"1-1000847","21-1000847"
"1-1000848","21-1000848"
"1-1000849","21-1000849"
"1-1000850","21-1000850"
"1-1000851","21-1000851"
"1-1000852","21-1000852"
"1-1000853","21-1000853"
"1-1000854","21-1000854"
"1-1000855","21-1000855"
"1-1000856","21-1000856"
"1-1000857","21-1000857"
"1-1000858","21-1000858"
"1-1000859","21-1000859"
"1-1000860","21-1000860"
"1-1000861","21-1000861"
"1-1000862","21-1000862"
"1-1000863","21-1000863"
"1-1000864","21-1000864"
"1-1000865","21-1000865"
"1-1000866","21-1000866"
"1-1000867","21-1000867"
"1-1000868","21-1000868"
"1-1000869","21-1000869"
"1-1000870","21-1000870"
"1-1000871","21-1000871"
"1-1000872","21-1000872"
"1-1000873","21-1000873"
"1-1000874","21-1000874"
"1-1000875","21-1000875"
"1-1000876","21-1000876"
"1-1000877","21-1000877"
"1-1000878","21-1000878"
"1-1000879","21-1000879"
"1-1000880","21-1000880"
"1-1000881","21-1000881"
"1-1000882","21-1000882"
"1-1000883","21-1000883"
"1-1000884","21-1000884"
"1-1000885","21-1000885"
"1-1000886","21-1000886"
"1-1000887","21-1000887"
"1-1000888","21-1000888"
"1-1000889","21-1000889"
"1-1000890","21-1000890"
"1-1000891","21-1000891"
"1-1000892","21-1000892"
"1-1000893","21-1000893"
"1-1000894","21-1000894"
"1-1000895","21-1000895"
"1-1000896","21-1000896"
"1-1000897","21-1000897"
"1-1000898","21-1000898"
"1-1000899","21-1000899"
"1-1000900","21-1000900"
"1-1000901","21-1000901"
"1-1000902","21-1000902"
"1-1000903","21-1000903"
"1-1000904","21-1000904"
"1-1000905","21-1000905"
"1-1000906","21-1000906"
"1-1000907","21-1000907"
"1-1000908","21-1000908"
"1-1000909","21-1000909"
"1-1000910","21-1000910"
"1-1000911","21-1000911"
"1-1000912","21-1000912"
"1-1000913","21-1000913"
"1-1000914","21-1000914"
"1-1000915","21-1000915"
"1-1000916","21-1000916"
"1-1000917","21-1000917"
"1-1000918","21-1000918"
"1-1000919","21-1000919"
"1-1000920","21-1000920"
"1-1000921","21-1000921"
"1-1000922","21-1000922"
"1-1000923","21-1000923"
"1-1000924","21-1000924"
"1-1000925","21-1000925"
"1-1000926","21-1000926"
"1-1000927","21-1000927"
"1-1000928","21-1000928"
"1-1000929","21-1000929"
"1-1000930","21-1000930"
"1-1000931","21-1000931"
"1-1000932","21-1000932"
"1-1000933","21-1000933"
"1-1000934","21-1000934"
"1-1000935","21-1000935"
"1-1000936","21-1000936"
"1-1000937","21-1000937"
"1-1000938","21-1000938"
"1-1000939","21-1000939"
"1-1000940","21-1000940"
"1-1000941","21-1000941"
"1-1000942","21-1000942"
"1-1000943","21-1000943"
"1-1000944","21-1000944"
"1-1000945","21-1000945"
"1-1000946","21-1000946"
"1-1000947","21-1000947"
"1-1000948","21-1000948"
"1-1000949","21-1000949"
"1-1000950","21-1000950"
"1-1000951","21-1000951"
"1-1000952","21-1000952"
"1-1000953","21-1000953"
"1-1000954","21-1000954"
"1-1000955","21-1000955"
"1-1000956","21-1000956"
"1-1000957","21-1000957"
"1-1000958","21-1000958"
"1-1000959","21-1000959"
"1-1000960","21-1000960"
"1-1000961","21-1000961"
"1-1000962","21-1000962"
"1-1000963","21-1000963"
"1-1000964","21-1000964"
"1-1000965","21-1000965"
"1-1000966","21-1000966"
"1-1000967","21-1000967"
"1-1000968","21-1000968"
"1-1000969","21-1000969"
"1-1000970","21-1000970"
"1-1000971","21-1000971"
"1-1000972","21-1000972"
"1-1000973","21-1000973"
"1-1000974","21-1000974"
"1-1000975","21-1000975"
"1-1000976","21-1000976"
"1-1000977","21-1000977"
"1-1000978","21-1000978"
"1-1000979","21-1000979"
"1-1000980","21-1000980"
"1-1000981","21-1000981"
"1-1000982","21-1000982"
"1-1000983","21-1000983"
"1-1000984","21-1000984"
"1-1000985","21-1000985"
"1-1000986","21-1000986"
"1-1000987","21-1000987"
"1-1000988","21-1000988"
"1-1000989","21-1000989"
"1-1000990","21-1000990"
"1-1000991","21-1000991"
"1-1000992","21-1000992"
"1-1000993","21-1000993"
"1-1000994","21-1000994"
"1-1000995","21-1000995"
"1-1000996","21-1000996"
"1-1000997","21-1000997"
"1-1000998","21-1000998"
"1-1000999","21-1000999"
